iter	Passed	Remaining
423	2081	2483
424	2086	2478
425	2090	2473
426	2095	2468
427	2100	2463
428	2104	2458
429	2109	2452
430	2114	2447
431	2116	2439
432	2121	2434
433	2126	2430
434	2131	2425
435	2136	2420
436	2141	2415
437	2146	2410
438	2151	2405
439	2155	2400
440	2160	2395
441	2165	2390
442	2169	2385
443	2174	2380
444	2179	2374
445	2183	2369
446	2188	2364
447	2193	2359
448	2198	2354
449	2202	2349
450	2207	2344
451	2212	2339
452	2217	2334
453	2221	2329
454	2226	2324
455	2231	2319
456	2235	2314
457	2240	2309
458	2245	2304
459	2250	2299
460	2255	2294
461	2260	2289
462	2264	2284
463	2269	2279
464	2274	2274
465	2278	2268
466	2283	2264
467	2288	2259
468	2292	2253
469	2297	2248
470	2302	2243
471	2307	2239
472	2312	2234
473	2316	2228
474	2321	2223
475	2325	2218
476	2330	2213
477	2335	2208
478	2340	2203
479	2345	2198
480	2350	2194
481	2355	2189
482	2359	2184
483	2365	2179
484	2369	2174
485	2374	2169
486	2379	2164
487	2384	2159
488	2388	2154
489	2391	2147
490	2396	2142
491	2401	2137
492	2406	2133
493	2411	2128
494	2415	2122
495	2420	2117
496	2425	2112
497	2430	2107
498	2434	2103
499	2439	2097
500	2444	2092
501	2448	2087
502	2453	2082
503	2458	2078
504	2463	2073
505	2468	2068
506	2472	2063
507	2477	2058
508	2482	2053
509	2487	2048
510	2492	2043
511	2496	2038
512	2501	2033
513	2506	2028
514	2511	2023
515	2515	2018
516	2520	2013
517	2525	2008
518	2529	2003
519	2534	1998
520	2539	1993
521	2544	1988
522	2549	1983
523	2554	1978
524	2559	1974
525	2564	1969
526	2569	1964
527	2573	1959
528	2578	1954
529	2583	1949
530	2587	1944
531	2592	1939
532	2597	1934
533	2602	1929
534	2606	1924
535	2611	1919
536	2616	1914
537	2620	1909
538	2625	1904
539	2630	1899
540	2635	1894
541	2640	1890
542	2644	1884
543	2649	1879
544	2654	1874
545	2659	1870
546	2663	1865
547	2668	1860
548	2673	1855
549	2678	1850
550	2683	1845
551	2687	1840
552	2692	1835
553	2697	1830
554	2701	1825
555	2706	1820
556	2710	1815
557	2715	1810
558	2720	1805
559	2725	1800
560	2730	1795
561	2735	1790
562	2739	1786
563	2744	1781
564	2749	1776
565	2754	1771
566	2758	1766
567	2763	1761
568	2768	1756
569	2773	1751
570	2778	1746
571	2783	1741
572	2788	1737
573	2792	1732
574	2797	1727
575	2802	1722
576	2807	1717
577	2812	1712
578	2816	1707
579	2821	1702
580	2826	1697
581	2831	1692
582	2836	1688
583	2840	1682
584	2845	1678
585	2850	1673
586	2855	1668
587	2859	1663
588	2864	1658
589	2869	1653
590	2873	1648
591	2879	1643
592	2884	1639
593	2888	1633
594	2893	1629
595	2897	1624
596	2902	1619
597	2907	1614
598	2912	1609
599	2917	1604
600	2920	1598
601	2924	1593
602	2929	1588
603	2934	1583
604	2938	1578
605	2943	1573
606	2948	1568
607	2952	1563
608	2957	1558
609	2962	1553
610	2967	1549
611	2971	1543
612	2976	1539
613	2981	1534
614	2986	1529
615	2990	1524
616	2995	1519
617	3000	1514
618	3005	1509
619	3010	1505
620	3015	1500
621	3019	1495
622	3024	1490
623	3029	1485
624	3034	1480
625	3038	1475
626	3043	1470
627	3048	1465
628	3052	1460
629	3058	1456
630	3063	1451
631	3067	1446
632	3072	1441
633	3077	1436
634	3082	1431
635	3086	1426
636	3091	1422
637	3096	1417
638	3101	1412
639	3106	1407
640	3111	1402
641	3115	1397
642	3120	1392
643	3125	1388
644	3130	1383
645	3135	1378
646	3139	1373
647	3144	1368
648	3149	1363
649	3154	1358
650	3158	1353
651	3163	1348
652	3168	1344
653	3173	1339
654	3177	1334
655	3182	1329
656	3187	1324
657	3191	1319
658	3197	1314
659	3201	1309
660	3206	1305
661	3211	1300
662	3215	1295
663	3220	1290
664	3225	1285
665	3230	1280
666	3235	1275
667	3239	1270
668	3244	1265
669	3249	1261
670	3254	1256
671	3259	1251
672	3263	1246
673	3268	1241
674	3272	1236
675	3277	1231
676	3282	1226
677	3287	1221
678	3292	1217
679	3296	1212
680	3301	1207
681	3307	1202
682	3312	1197
683	3317	1193
684	3321	1188
685	3326	1183
686	3331	1178
687	3336	1173
688	3340	1168
689	3345	1163
690	3350	1158
691	3354	1153
692	3359	1148
693	3364	1144
694	3368	1139
695	3373	1134
696	3378	1129
697	3383	1124
698	3388	1119
699	3393	1114
700	3397	1109
701	3402	1105
702	3407	1100
703	3412	1095
704	3417	1090
705	3421	1085
706	3426	1080
707	3431	1075
708	3435	1071
709	3440	1066
710	3445	1061
711	3450	1056
712	3455	1051
713	3459	1046
714	3464	1041
715	3469	1036
716	3474	1032
717	3479	1027
718	3483	1022
719	3488	1017
720	3493	1012
721	3498	1007
722	3503	1002
723	3507	998
724	3512	993
725	3517	988
726	3522	983
727	3527	978
728	3532	973
729	3537	969
730	3542	964
731	3546	959
732	3551	954
733	3556	949
734	3561	944
735	3565	939
736	3570	935
737	3575	930
738	3580	925
739	3585	920
740	3589	915
741	3594	910
742	3599	905
743	3604	901
744	3608	896
745	3613	891
746	3618	886
747	3623	881
748	3628	876
749	3633	871
750	3638	867
751	3643	862
752	3648	857
753	3653	852
754	3657	847
755	3662	842
756	3667	838
757	3672	833
758	3677	828
759	3682	823
760	3686	818
761	3691	813
762	3696	808
763	3701	804
764	3705	799
765	3710	794
766	3715	789
767	3719	784
768	3724	779
769	3730	775
770	3734	770
771	3739	765
772	3744	760
773	3749	755
774	3753	750
775	3758	745
776	3763	741
777	3768	736
778	3772	731
779	3777	726
780	3782	721
781	3787	716
782	3791	711
783	3796	706
784	3801	702
785	3805	697
786	3810	692
787	3815	687
788	3820	682
789	3825	677
790	3830	673
791	3834	668
792	3839	663
793	3844	658
794	3849	653
795	3853	648
796	3858	643
797	3863	639
798	3868	634
799	3872	629
800	3877	624
801	3882	619
802	3887	614
803	3891	609
804	3896	605
805	3901	600
806	3906	595
807	3910	590
808	3915	585
809	3920	580
810	3925	576
811	3930	571
812	3935	566
813	3940	561
814	3945	556
815	3949	551
816	3954	546
817	3959	542
818	3963	537
819	3968	532
820	3973	527
821	3978	522
822	3983	517
823	3987	512
824	3992	508
825	3997	503
826	4002	498
827	4006	493
828	4011	488
829	4016	483
830	4020	479
831	4025	474
832	4030	469
833	4035	464
834	4039	459
835	4044	454
836	4049	449
837	4054	445
838	4059	440
839	4064	435
840	4068	430
841	4073	425
842	4078	420
843	4083	416
844	4088	411
845	4092	406
846	4097	401
847	4102	396
848	4106	391
849	4111	386
850	4116	382
851	4121	377
852	4125	372
853	4130	367
854	4135	362
855	4140	357
856	4144	353
857	4149	348
858	4154	343
859	4159	338
860	4164	333
861	4168	328
862	4173	324
863	4178	319
864	4183	314
865	4188	309
866	4192	304
867	4197	299
868	4202	294
869	4206	290
870	4211	285
871	4216	280
872	4221	275
873	4225	270
874	4230	265
875	4235	261
876	4240	256
877	4245	251
878	4249	246
879	4254	241
880	4260	236
881	4264	232
882	4269	227
883	4274	222
884	4279	217
885	4284	212
886	4288	207
887	4293	203
888	4298	198
889	4302	193
890	4307	188
891	4312	183
892	4317	178
893	4322	174
894	4327	169
895	4332	164
896	4337	159
897	4341	154
898	4346	149
899	4351	145
900	4355	140
901	4360	135
902	4366	130
903	4370	125
904	4375	120
905	4380	116
906	4385	111
907	4389	106
908	4394	101
909	4399	96
910	4403	91
911	4408	87
912	4413	82
913	4418	77
914	4423	72
915	4427	67
916	4432	62
917	4437	58
918	4442	53
919	4447	48
920	4452	43
921	4456	38
922	4461	33
923	4466	29
924	4471	24
925	4476	19
926	4481	14
927	4485	9
928	4490	4
929	4495	0
