iter	Logloss
0	0.692040942
1	0.6909731372
2	0.6894807768
3	0.6885522035
4	0.6869300636
5	0.6853582115
6	0.6841099403
7	0.6826597847
8	0.6816856297
9	0.6801202577
10	0.6787053241
11	0.6776930435
12	0.6758473173
13	0.674565039
14	0.6734687382
15	0.672608148
16	0.6716788131
17	0.6704852699
18	0.6694747533
19	0.6682402706
20	0.6672747689
21	0.6664119645
22	0.6654887912
23	0.6641408274
24	0.6629816833
25	0.6610870676
26	0.6605574414
27	0.6595595777
28	0.6580615011
29	0.6569124709
30	0.6557645723
31	0.6548053965
32	0.6532012459
33	0.6523452674
34	0.6514385257
35	0.6506880744
36	0.6494644835
37	0.6489052868
38	0.6475148215
39	0.6469175231
40	0.646309921
41	0.6450671398
42	0.6444107681
43	0.6434443161
44	0.6426322376
45	0.6420109964
46	0.6406168016
47	0.6395682935
48	0.6388892536
49	0.6374870533
50	0.6367954622
51	0.6361284187
52	0.6353676415
53	0.6349255284
54	0.6341882049
55	0.633478871
56	0.6327207723
57	0.6321190464
58	0.6311014495
59	0.6302154617
60	0.6294780524
61	0.6287635301
62	0.6276777897
63	0.626653993
64	0.6259777255
65	0.6255247185
66	0.6250336794
67	0.6241247817
68	0.6237325785
69	0.6231413381
70	0.6224450718
71	0.6209722883
72	0.6201128514
73	0.619511387
74	0.6189017436
75	0.618238884
76	0.6177557268
77	0.6171907097
78	0.6163974667
79	0.6158688293
80	0.6147355643
81	0.6137635567
82	0.6133891073
83	0.6129580178
84	0.6120824257
85	0.6116961934
86	0.6107920806
87	0.6099045303
88	0.6095592156
89	0.6089565897
90	0.6082250653
91	0.6073542051
92	0.6068455796
93	0.6057610183
94	0.6051164017
95	0.6045125101
96	0.603916762
97	0.6031028185
98	0.6026679527
99	0.6022037735
100	0.6015977125
101	0.6013538221
102	0.6008805713
103	0.6004013048
104	0.5999321998
105	0.5992684836
106	0.5985519953
107	0.5979923251
108	0.5976712485
109	0.5974123397
110	0.5969660619
111	0.596181478
112	0.595517227
113	0.5950165496
114	0.594575601
115	0.5937240705
116	0.5932421428
117	0.5928060798
118	0.5924422777
119	0.591824377
120	0.5914589329
121	0.5909402447
122	0.5902999026
123	0.5893576868
124	0.5890851912
125	0.5882116739
126	0.5878075275
127	0.5871602313
128	0.5868068135
129	0.5861953864
130	0.5856151115
131	0.5851620593
132	0.5848690112
133	0.5842750652
134	0.5832932297
135	0.5827219595
136	0.5821435039
137	0.5817312512
